chrom	bin.left.bound	bin.center	cov.pop	cov.bg	cov.substracted	n.pairs
1	6.300000000000001	6.3500000000000005	-3169.6430093816125	2375.2494096148935	-5544.89241897894	13863400.0
1	6.4	6.45	4181.766555283847	1063.5902229317214	3118.176332491413	13805014.0
1	6.5	6.55	-11140.385008226642	-6962.037521263962	-4178.347487057828	13807458.0
1	6.6000000000000005	6.65	-11604.038381542061	-9944.697627737509	-1659.340753771122	13733829.0
1	6.7	6.75	3030.156701283941	-1148.8486774760222	4179.005378830731	13677475.0
1	6.800000000000001	6.8500000000000005	-8234.509276500321	-1306.8318861150115	-6927.677390315789	13677707.0
1	6.9	6.95	-5244.46797257813	1744.9579339095499	-6989.425906379308	13626259.0
1	7.0	7.05	4700.30245232699	-2451.214421727762	7151.5168741076395	13623239.0
1	7.1000000000000005	7.15	1780.458696540308	-4269.263716510904	6049.722413108825	13631393.0
1	7.2	7.25	-1387.3665589921902	5817.148553945068	-7204.515112830858	13513994.0
1	7.300000000000001	7.3500000000000005	4706.774983486234	-1113.858559716611	5820.63354324665	13508397.0
1	7.4	7.45	-1709.9733852889055	-235.55784781945448	-1474.4155373689075	13507630.0
1	7.5	7.55	-3609.197596451005	4500.063567569889	-8109.261163921379	13446146.0
1	7.6000000000000005	7.65	2584.224533229348	861.8812701041614	1722.3432631863107	13407065.0
1	7.7	7.75	-5425.1694075496025	190.65804429550175	-5615.8274517728405	13425628.0
1	7.800000000000001	7.8500000000000005	-5343.05013752274	5188.452556470493	-10531.502693923901	13375240.0
1	7.9	7.95	-1938.5497952508122	503.225528762973	-2441.7753239734066	13326855.0
1	8.0	8.05	-7355.060606516754	-3020.1720304740497	-4334.88857596113	13301368.0
1	8.1	8.15	-6099.867499019574	-2281.2218174534587	-3818.6456816523296	13283214.0
1	8.200000000000001	8.250000000000002	-16652.190581438925	-2821.0696694574594	-13831.120912234092	13217689.0
1	8.3	8.350000000000001	-11011.712644148614	-779.3708389300979	-10232.341805338085	13201291.0
1	8.4	8.450000000000001	-12880.500446970445	-1244.7055427635382	-11635.794904237982	13162683.0
1	8.5	8.55	-14295.160308149612	-1252.2366948563658	-13042.923613447754	13095174.0
